Provinsi,Kabupaten/Kota,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Rata-rata Lama Sekolah Penduduk 15+ (Tahun),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),Indeks Pembangunan Manusia,Umur Harapan Hidup (Tahun),Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Persentase rumah tangga yang memiliki akses terhadap air minum layak,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Klasifikasi Kemiskinan,reg_gdp,SALARY,YEAR,Reading Frequency per week,Number of Readings per Quarter,Daily Reading Duration (in minutes),Internet Access Frequency per Week,Daily Internet Duration (in minutes),Tingkat Kegemaran Membaca (Reading Interest),Category
ACEH,simeulue,18.98,9.48,7148.0,66.41,65.28,71.56,87.45,5.71,71.15,1648096.0,0.0,2.275,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,aceh singkil,20.36,8.68,8776.0,69.22,67.43,69.56,78.58,8.36,62.85,1780419.0,1.0,2.425,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,aceh selatan,13.18,8.88,8180.0,67.44,64.4,62.55,79.65,6.46,60.85,4345784.0,0.0,5.531,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,aceh tenggara,13.41,9.67,8030.0,69.44,68.22,62.71,86.71,6.43,69.62,3487157.0,0.0,5.063,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,aceh timur,14.45,8.21,8577.0,67.83,68.74,66.75,83.16,7.13,59.48,8433526.0,0.0,10.616,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,aceh tengah,15.26,9.86,10780.0,73.37,68.86,90.58,90.1,2.61,76.3,5953118.0,0.0,7.389,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,aceh barat,18.81,9.55,9593.0,71.67,67.99,89.6,94.22,7.09,60.05,7485861.0,0.0,8.116,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,aceh besar,14.05,10.33,9644.0,73.58,69.79,87.4,82.36,7.7,61.67,10261585.0,0.0,13.336,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,pidie,19.59,9.0,9860.0,70.7,66.95,54.1,89.24,7.28,60.29,7975099.0,0.0,10.76,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,bireuen,13.25,9.29,8867.0,72.33,71.26,81.89,93.53,4.32,65.91,10374480.0,0.0,13.09,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,aceh utara,17.43,8.64,8201.0,69.46,68.81,79.97,91.09,8.31,58.47,16924103.0,0.0,19.695,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,aceh barat daya,16.34,8.67,8428.0,66.99,65.06,65.71,95.34,4.04,57.91,3069805.0,0.0,3.92,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,gayo lues,19.64,8.4,8856.0,67.56,65.53,47.63,84.68,1.84,78.99,1981879.0,0.0,2.695,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,aceh tamiang,13.34,8.91,8367.0,69.48,69.63,87.45,83.12,5.87,66.43,6062520.0,0.0,7.513,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,nagan raya,18.23,8.69,8292.0,69.31,69.24,74.86,90.13,4.99,64.99,7110421.0,0.0,7.674,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,aceh jaya,13.23,8.71,9666.0,69.84,67.19,81.6,86.36,3.47,72.59,2033844.0,0.0,2.626,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,bener meriah,19.16,10.0,11118.0,73.27,69.26,86.69,89.71,1.24,77.53,3744095.0,0.0,4.522,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,pidie jaya,19.55,9.34,10290.0,73.6,70.18,74.3,93.46,3.57,57.77,2635517.0,0.0,3.476,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,kota banda aceh,7.61,12.83,16891.0,85.71,71.52,99.88,99.37,8.94,63.0,15454371.0,0.0,18.288,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,kota sabang,15.32,11.18,11378.0,76.11,70.56,92.25,96.18,3.56,63.71,1152875.0,0.0,1.533,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,kota langsa,10.96,11.12,12067.0,77.44,69.43,91.81,97.14,7.21,67.04,3974614.0,0.0,5.279,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,kota lhokseumawe,11.16,11.11,11390.0,77.57,71.64,93.1,94.44,11.16,63.91,7252905.0,0.0,8.918,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
ACEH,kota subulussalam,17.65,8.03,7385.0,65.27,64.07,69.71,60.87,6.26,63.78,1438997.0,0.0,1.804,3165031,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
SUMATERA UTARA,nias,16.82,5.64,6995.0,62.74,69.78,19.93,47.79,3.12,81.79,2666855.0,0.0,4.041,2499423,2021,4.5,4.0,94.1,5.5,106.0,57.26,Moderate
