Kabupaten/Kota,lat,long
simeulue,2.583333,96.083333
aceh singkil,2.3589459,97.87216
aceh selatan,3.3115056000000003,97.3516558
aceh tenggara,3.3088665999999995,97.6982272
aceh timur,5.255443,95.9885456
aceh tengah,4.448264099999999,96.8350999
aceh barat,4.4542745,96.1526985
aceh besar,5.4529168,95.4777811
pidie,5.0742659,95.940971
bireuen,5.18254,96.89005
aceh utara,4.9786331,97.2221421
aceh barat daya,3.0512643,97.3368031
gayo lues,3.955165,97.3516558
aceh tamiang,4.2328871,98.0028892
nagan raya,4.124840600000001,96.4929797
aceh jaya,4.7873684,95.6457951
bener meriah,4.7748348,97.0068393
pidie jaya,5.1548063,96.195132
kota banda aceh,5.55,95.3166667
kota sabang,5.894692900000001,95.3192982
kota langsa,4.48,97.9633333
kota lhokseumawe,5.188055599999999,97.1402778
kota subulussalam,2.6449927000000004,98.0165205
nias,-8.1712591,113.7111274
mandailing natal,0.7432371999999999,99.3673084
tapanuli selatan,1.5774933,99.2785583
tapanuli tengah,1.8493299,98.704075
tapanuli utara,2.0405246,99.1013498
toba samosir,2.3502398,99.2785583
labuhan batu,2.344,100.1703
asahan,2.8174722,99.634135
simalungun,2.9781612,99.2785583
dairi,2.8675801,98.265058
karo,3.1052909,98.265058
deli serdang,3.4201802000000003,98.704075
langkat,3.8653916,98.3088441
nias selatan,0.7086091,97.8286368
humbang hasundutan,2.1988508,98.5721016
pakpak bharat,2.545786,98.299838
samosir,2.3502398,99.2785583
serdang bedagai,3.3371694,99.0571089
batu bara,3.1740979,99.5006143
padang lawas utara,1.5758644,99.634135
padang lawas,1.5758644,99.634135
labuhan batu selatan,1.8799,100.1703
labuhan batu utara,2.3466,99.8125
nias utara,1.1255278999999998,97.5247243
nias barat,1.1255278999999998,97.5247243
kota sibolga,1.7403745,98.7827988
kota tanjung balai,2.965122,99.800331
kota pematang siantar,2.96,99.06
kota tebing tinggi,3.3856205000000004,99.2009815
kota medan,3.585242,98.6755979
kota binjai,3.594462,98.482246
kota padangsidimpuan,1.380424,99.273972
kota gunungsitoli,1.281964,97.61594
kepulauan mentawai,-1.426001,98.9245343
pesisir selatan,-1.7223147,100.8903099
solok,-0.803027,100.644402
sijunjung,-0.6881586,100.997658
tanah datar,-0.4797043,100.5746224
padang pariaman,-0.5546757,100.2151578
agam,-0.2209392,100.1703257
lima puluh kota,3.168216,99.4187929
pasaman,0.1288752,99.7901781
solok selatan,-1.4157329,101.2523792
dharmasraya,-1.1121,101.6158
pasaman barat,0.2213005,99.634135
kota padang,1.5758644,99.634135
kota solok,-0.803027,100.644402
kota sawah lunto,-0.6810286,100.7763604
kota padang panjang,-0.470679,100.4059456
kota bukittinggi,-0.3055556,100.3691667
kota payakumbuh,-0.22887,100.632301
kota pariaman,-0.5546757,100.2151578
kuantan singingi,-0.4411595999999999,101.5248055
indragiri hulu,-0.7361181,102.2547919
indragiri hilir,-0.1456733,102.989615
pelalawan,0.4414149999999999,102.088699
siak,-0.789275,113.921327
kampar,0.146671,101.1617356
rokan hulu,1.0410934,100.439656
bengkalis,1.4897222,102.0797222
rokan hilir,1.6463978,100.8000051
kepulauan meranti,0.9208765,102.6675575
kota pekanbaru,0.5333333,101.45
kota dumai,1.6666,101.4002
kerinci,-1.8720467,101.4339148
merangin,-2.1752789,101.9804613
sarolangun,-2.2654937000000004,102.69053259999998
batang hari,-1.7083921999999998,103.0817903
muaro jambi,-1.596672,103.615799
tanjung jabung timur,-1.3291598999999998,103.89973
tanjung jabung barat,-1.2332122,103.7984428
tebo,-1.2592999,102.3463875
bungo,-1.6401338,101.8891721
kota jambi,-1.596672,103.615799
kota sungai penuh,-2.06314,101.387199
ogan komering ulu,-4.0283486,104.0072348
ogan komering ilir,-3.4559744,105.2194808
muara enim,-3.651581,103.770798
lahat,-3.7863889,103.5427778
musi rawas,-2.8625305,102.989615
musi banyuasin,-2.5442029,103.7289167
banyu asin,-2.6095639,104.7520939
ogan komering ulu selatan,-4.668195099999999,104.0072348
ogan komering ulu timur,-3.8567934,104.7520939
ogan ilir,-3.4265440000000003,104.6121475
empat lawang,-3.7286029,102.8975098
penukal abab lematang ilir,-3.2398,104.0072
musi rawas utara,-2.7878,102.7135
kota palembang,-2.9911083,104.7567333
kota prabumulih,-3.440956,104.235397
kota pagar alam,-4.037669999999999,103.265297
kota lubuklinggau,-3.2966667000000003,102.8616667
bengkulu selatan,-4.324840900000001,103.035694
rejang lebong,-3.4548154,102.6675575
bengkulu utara,-3.4219555,102.1632718
kaur,-4.6792278,103.4511768
seluma,-4.062292899999999,102.5642261
mukomuko,-2.5760003,101.1169805
lebong,-3.4548154,102.6675575
kepahiang,-3.651431,102.578201
bengkulu tengah,-3.7955556000000006,102.2591667
kota bengkulu,-4.324840900000001,103.035694
lampung barat,-5.149039599999999,104.1930918
tanggamus,-5.3027489,104.5655273
lampung selatan,-5.562261400000001,105.54743729999998
lampung timur,-5.1134995000000005,105.6881788
lampung tengah,-4.8008086,105.3131185
lampung utara,-4.8133905,104.7520939
way kanan,-4.4963689,104.5655273
tulangbawang,-4.3176576,105.5005483
pesawaran,-5.493245,105.0791228
pringsewu,-5.3539884,104.9622498
mesuji,-4.0044783,105.3131185
tulang bawang barat,-4.5257,105.0791
pesisir barat,-5.2928,104.1234
kota bandar lampung,-5.45,105.26666670000002
kota metro,-5.116666700000001,105.3
bangka,-7.0306912,112.7450068
belitung,-2.8708938,107.9531836
bangka barat,-2.2884782,106.0640179
bangka tengah,-2.2884782,106.0640179
bangka selatan,-2.2884782,106.0640179
belitung timur,-2.8708938,107.9531836
kota pangkal pinang,-2.129323,106.109596
karimun,1.05,103.3666667
bintan,1.0619173000000002,104.5189214
natuna,3.9329945,108.1812242
lingga,-3.2966667000000003,102.8616667
kepulauan anambas,3.1055,105.6537
kota batam,1.1301,104.0529
kota tanjung pinang,0.9179205,104.446464
kepulauan seribu,-5.7985266,106.5071982
kota jakarta selatan,-6.332973,106.807915
kota jakarta timur,-6.211544,106.845172
kota jakarta pusat,-6.211544,106.845172
kota jakarta barat,-6.211544,106.845172
kota jakarta utara,-6.211544,106.845172
bogor,-6.6,106.8
sukabumi,-6.92405,106.922203
cianjur,-6.8172531,107.1307289
bandung,-6.9147444,107.6098111
garut,-7.227906,107.908699
tasikmalaya,-7.327953999999999,108.214104
ciamis,-7.3333333,108.35
kuningan,-6.9833333,108.48333329999998
cirebon,-6.715534,108.564003
majalengka,-6.8531026,108.2258897
sumedang,0.6095949,110.0330554
indramayu,-6.336315,108.325104
subang,-6.569361,107.752403
purwakarta,-6.538680599999999,107.4499404
karawang,-6.3227303,107.3375791
bekasi,-6.2333333,107.0
bandung barat,-6.8937121,107.4321959
pangandaran,-7.6151,108.4988
kota bogor,-6.6,106.8
kota sukabumi,-6.92405,106.922203
kota bandung,-6.9147444,107.6098111
kota cirebon,-6.715534,108.564003
kota bekasi,-6.2333333,107.0
kota depok,-6.39,106.83
kota cimahi,-6.880239,107.5355
kota tasikmalaya,-7.327953999999999,108.214104
kota banjar,-7.366666700000001,108.53333329999998
cilacap,-7.733333,109.0
banyumas,-7.4832133,109.140438
purbalingga,-7.390747,109.3638
banjarnegara,-7.402705999999999,109.681396
kebumen,-7.678682000000001,109.656502
purworejo,-7.709731,110.008003
wonosobo,-7.362108999999999,109.899399
magelang,-7.481253,110.213799
boyolali,-7.523819,110.595901
klaten,-7.711686999999999,110.595497
sukoharjo,-7.6808818,110.81952920000002
wonogiri,-7.817782000000001,110.920601
karanganyar,-7.596111099999999,110.9508333
sragen,-7.430229,111.021301
grobogan,-7.0217194,110.9625854
blora,-6.95,111.4166667
rembang,-6.711239999999999,111.345299
pati,-6.7513380000000005,111.038002
kudus,-6.804086999999999,110.838203
jepara,-6.559605900000001,110.6717
demak,-6.888114999999999,110.639297
semarang,-6.9666667,110.4166667
temanggung,-7.316669,110.174797
kendal,-6.919686,110.205597
batang,-1.7083921999999998,103.0817903
pekalongan,-6.882886999999999,109.669998
pemalang,-6.884233999999999,109.377998
tegal,-6.866666700000001,109.1333333
brebes,-6.883333299999999,109.05
kota magelang,-7.481253,110.213799
kota surakarta,-7.5666667,110.8166667
kota salatiga,-7.302328,110.4729
kota semarang,-6.9666667,110.4166667
kota pekalongan,-6.882886999999999,109.669998
kota tegal,-6.866666700000001,109.1333333
kulon progo,-7.8266798,110.1640846
bantul,-7.884611099999999,110.3341111
gunung kidul,-8.0305091,110.6168921
sleman,-7.716164999999999,110.335403
kota yogyakarta,-7.797224000000001,110.368797
pacitan,-8.204614,111.08769
ponorogo,-7.867827,111.466003
trenggalek,-8.05,111.71666670000002
tulungagung,-8.0666667,111.9
blitar,-8.101441900000001,112.162762
kediri,-7.809356,112.032356
malang,-8.0495643,112.6884549
lumajang,-8.137022,113.226601
jember,-8.172357,113.700302
banyuwangi,-8.218611099999999,114.3669444
bondowoso,-7.917704,113.813483
situbondo,-7.702534,113.955605
probolinggo,-7.753964999999999,113.210675
pasuruan,-6.8623098,108.8001936
sidoarjo,-7.453027799999999,112.7173389
mojokerto,-7.488075,112.427027
jombang,-7.546839500000001,112.2264794
nganjuk,-7.602932000000001,111.901808
madiun,-7.627753,111.505483
magetan,-7.6493413,111.3381593
ngawi,-7.38993,111.46193
bojonegoro,0.8826809999999999,124.4669566
tuban,-8.7493146,115.1711298
lamongan,-7.406153,109.3946794
gresik,-7.15665,112.6555
bangkalan,-7.0306912,112.7450068
sampang,-7.578255599999999,109.2058436
pamekasan,-7.1666667,113.46666670000002
sumenep,-6.925399900000001,113.9060624
kota kediri,-7.809356,112.032356
kota blitar,-8.101441900000001,112.162762
kota malang,-8.0495643,112.6884549
kota probolinggo,-7.753964999999999,113.210675
kota pasuruan,-6.8623098,108.8001936
kota mojokerto,-7.488075,112.427027
kota madiun,-7.627753,111.505483
kota surabaya,-7.289166000000001,112.734398
kota batu,-7.8671,112.5239
pandeglang,-6.314835,106.103897
lebak,-6.564395599999999,106.2522143
tangerang,-6.2888889,106.7180556
serang,-6.12009,106.150299
kota tangerang,-6.2888889,106.7180556
kota cilegon,-6.0169825,106.040506
kota serang,-6.12009,106.150299
